room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15310646,72150468,Entire home/apt,,1,0,,5,4.0,121.0,2.0,56.116357,10.2074,2016-10-29 01:37:08.520716
6745224,6174780,Entire home/apt,,24,3,4.0,3,1.0,74.0,2.0,56.157261,10.200443,2016-10-29 01:37:06.044948
14890082,93140662,Private room,,24,8,5.0,2,1.0,41.0,1.0,56.15249,10.205437,2016-10-29 01:37:03.555120
13898783,17048412,Private room,,5,1,,2,1.0,61.0,1.0,56.190955,10.228908,2016-10-29 01:37:01.345981
3753636,19212667,Entire home/apt,,5,1,,4,1.0,44.0,1.0,56.209611,10.237637,2016-10-29 01:36:57.686249
15592634,71103683,Entire home/apt,,3,0,,2,1.0,39.0,1.0,56.17585,10.147864,2016-10-29 01:36:51.814529
7596740,39836859,Entire home/apt,,13,27,4.5,4,2.0,121.0,1.0,56.224411,10.211739,2016-10-29 01:36:48.774035
14329000,20072317,Entire home/apt,,24,0,,4,2.0,136.0,4.0,56.157709,10.209109,2016-10-29 01:36:24.872195
6149374,5420123,Entire home/apt,,24,22,5.0,4,2.0,107.0,1.0,56.143594,10.205213,2016-10-29 01:36:15.156778
11312464,59150776,Entire home/apt,,24,1,,4,2.0,47.0,1.0,56.173377,10.213838,2016-10-29 01:36:06.825307
13630692,79018819,Entire home/apt,,24,4,5.0,2,1.0,57.0,1.0,56.164264,10.19599,2016-10-29 01:35:55.513457
5157771,26673733,Entire home/apt,,5,7,4.5,7,3.0,75.0,1.0,56.205574,10.250497,2016-10-29 01:35:49.979875
6738598,33596040,Entire home/apt,,24,0,,3,1.0,23.0,8.0,56.151507,10.195962,2016-10-29 01:35:32.891011
9146546,47626213,Entire home/apt,,24,3,4.5,2,1.0,45.0,1.0,56.163319,10.216478,2016-10-29 01:35:23.709053
12069709,5529135,Private room,,11,1,,2,1.0,30.0,1.0,56.183338,10.097672,2016-10-29 01:35:13.130057
15476258,99340290,Entire home/apt,,1,0,,3,2.0,38.0,2.0,56.105774,10.199002,2016-10-29 01:35:10.043558
11817486,6177721,Entire home/apt,,24,28,4.5,8,2.0,54.0,1.0,56.147763,10.200659,2016-10-29 01:35:06.769819
7454987,6640438,Private room,,24,0,,2,1.0,53.0,1.0,56.153044,10.212079,2016-10-29 01:34:52.758560
14480401,39412196,Private room,,24,5,5.0,2,1.0,56.0,2.0,56.159958,10.201576,2016-10-29 01:33:47.702400
9330567,45877080,Entire home/apt,,2,0,,7,5.0,131.0,2.0,56.126014,10.181869,2016-10-29 01:33:29.570610
7198130,37692441,Entire home/apt,,24,7,4.5,3,1.0,57.0,6.0,56.143757,10.200242,2016-10-29 01:33:26.378196
4418139,21472701,Entire home/apt,,1,8,5.0,4,1.0,91.0,2.0,56.140873,10.193937,2016-10-29 01:33:03.831012
13615495,37246063,Entire home/apt,,4,5,5.0,6,2.0,61.0,2.0,56.186946,10.194901,2016-10-29 01:32:53.208747
11471751,55182007,Entire home/apt,,24,3,4.5,6,2.0,91.0,2.0,56.156017,10.199081,2016-10-29 01:32:31.079283
5514748,28604699,Entire home/apt,,24,15,4.5,2,1.0,53.0,1.0,56.162661,10.211832,2016-10-29 01:32:27.920458
4186264,21697650,Entire home/apt,,24,1,,6,3.0,99.0,1.0,56.145257,10.195902,2016-10-29 01:32:21.584372
15371916,6631477,Private room,,24,0,,3,1.0,34.0,1.0,56.162199,10.205157,2016-10-29 01:32:14.504367
7480675,39173722,Entire home/apt,,24,2,,2,1.0,53.0,2.0,56.163388,10.194056,2016-10-29 01:32:10.895175
11690014,55149107,Private room,,4,2,,1,1.0,20.0,1.0,56.173191,10.199747,2016-10-29 01:32:07.843079
14113070,85035726,Entire home/apt,,4,6,4.5,5,2.0,72.0,2.0,56.170424,10.190358,2016-10-29 01:32:02.628748
14247492,59289474,Entire home/apt,,24,0,,2,1.0,98.0,1.0,56.152991,10.206517,2016-10-29 01:31:56.720867
5950972,30893960,Entire home/apt,,24,0,,2,0.0,48.0,14.0,56.156028,10.209526,2016-10-29 01:31:34.014479
4839956,24908284,Entire home/apt,,5,0,,4,3.0,74.0,1.0,56.199157,10.208219,2016-10-29 01:31:25.669959
13602745,51888311,Entire home/apt,,24,2,,4,2.0,91.0,3.0,56.156998,10.206483,2016-10-29 01:31:15.203523
10582411,11019502,Entire home/apt,,4,8,5.0,2,1.0,91.0,1.0,56.173423,10.201426,2016-10-29 01:30:31.005763
12013088,6144193,Entire home/apt,,24,3,4.5,2,0.0,43.0,2.0,56.158445,10.195204,2016-10-29 01:30:24.489199
4219474,2907758,Entire home/apt,,24,33,5.0,3,2.0,60.0,2.0,56.146839,10.199359,2016-10-29 01:30:14.899982
15339766,13193693,Entire home/apt,,24,2,,3,1.0,91.0,2.0,56.151509,10.206668,2016-10-29 01:30:10.490474
1261804,4617919,Private room,,24,40,4.5,2,1.0,61.0,1.0,56.165086,10.194927,2016-10-29 01:29:58.820797
13894748,24756702,Entire home/apt,,24,0,,6,3.0,71.0,2.0,56.170627,10.215607,2016-10-29 01:29:50.801949
11954416,40817426,Entire home/apt,,24,3,4.5,3,1.0,57.0,2.0,56.16519,10.216042,2016-10-29 01:29:47.024050
12517023,14246684,Private room,,24,1,,2,1.0,98.0,1.0,56.171446,10.218788,2016-10-29 01:29:43.613148
6475302,33481860,Private room,,24,0,,2,1.0,47.0,1.0,56.165956,10.191238,2016-10-29 01:29:25.586262
12317924,61968816,Entire home/apt,,24,6,4.0,2,1.0,53.0,1.0,56.155976,10.195758,2016-10-29 01:29:19.645620
12727781,69205478,Entire home/apt,,5,4,4.5,4,2.0,53.0,1.0,56.19887,10.206571,2016-10-29 01:28:59.866871
11919782,6983070,Entire home/apt,,4,2,,6,4.0,106.0,3.0,56.180089,10.201978,2016-10-29 01:28:56.497869
14250042,8622061,Entire home/apt,,24,3,5.0,3,1.0,90.0,1.0,56.155391,10.19901,2016-10-29 01:28:49.303867
7751516,40753596,Entire home/apt,,24,1,,2,1.0,72.0,1.0,56.164445,10.21661,2016-10-29 01:28:44.340410
15338219,93140662,Entire home/apt,,24,0,,4,2.0,181.0,2.0,56.153128,10.204083,2016-10-29 01:28:20.398290
12048780,64519449,Entire home/apt,,24,0,,4,2.0,121.0,1.0,56.162068,10.209795,2016-10-29 01:28:16.647290
3129651,15860966,Entire home/apt,,24,0,,2,1.0,91.0,1.0,56.16898,10.218339,2016-10-29 01:28:07.589950
4005324,15522141,Private room,,3,41,5.0,1,1.0,34.0,1.0,56.171799,10.180771,2016-10-29 01:28:00.969792
3948925,20466817,Private room,,24,0,,4,1.0,75.0,1.0,56.15281,10.19242,2016-10-29 01:27:31.804104
13505588,70939391,Private room,,24,2,,2,1.0,34.0,1.0,56.145395,10.201392,2016-10-29 01:27:14.752020
2962843,15120661,Entire home/apt,,24,11,5.0,4,1.0,48.0,2.0,56.154725,10.205128,2016-10-29 01:27:07.923498
13189529,59679431,Entire home/apt,,3,1,,10,4.0,206.0,2.0,56.170564,10.168849,2016-10-29 01:27:04.523493
6463339,31734569,Entire home/apt,,3,18,5.0,4,2.0,61.0,1.0,56.167338,10.189248,2016-10-29 01:27:00.744950
5554603,28797695,Entire home/apt,,24,15,4.5,4,1.0,75.0,2.0,56.168736,10.220319,2016-10-29 01:26:44.433265
12726688,21252146,Entire home/apt,,24,0,,2,1.0,55.0,2.0,56.143021,10.193798,2016-10-29 01:26:17.903754
15038051,35316054,Entire home/apt,,24,0,,2,1.0,91.0,3.0,56.141993,10.193599,2016-10-29 01:26:03.128918
15294369,32903723,Entire home/apt,,4,0,,4,1.0,68.0,1.0,56.184335,10.197531,2016-10-29 01:25:55.381360
3028890,14751436,Entire home/apt,,24,1,,3,1.0,82.0,1.0,56.170898,10.216595,2016-10-29 01:25:33.717827
9214500,47918743,Entire home/apt,,24,13,5.0,2,0.0,72.0,2.0,56.159718,10.201813,2016-10-29 01:25:18.555461
11786799,62766571,Entire home/apt,,24,4,5.0,3,1.0,53.0,1.0,56.153517,10.194221,2016-10-29 01:25:03.976931
6924209,33843943,Entire home/apt,,5,1,,7,5.0,423.0,2.0,56.195321,10.242703,2016-10-29 01:24:49.243165
13187414,73786722,Entire home/apt,,1,1,,8,5.0,166.0,4.0,56.119406,10.198349,2016-10-29 01:24:14.440551
11411191,23286528,Entire home/apt,,4,6,5.0,6,3.0,136.0,5.0,56.174657,10.214894,2016-10-29 01:24:08.204304
9062761,47273313,Private room,,24,0,,2,1.0,61.0,1.0,56.162366,10.20862,2016-10-29 01:24:04.497058
9344891,13866980,Private room,,24,0,,2,1.0,42.0,1.0,56.160912,10.209894,2016-10-29 01:23:59.268271
13287523,44358607,Entire home/apt,,24,0,,4,2.0,75.0,1.0,56.145861,10.194003,2016-10-29 01:23:54.962179
13856795,32449276,Entire home/apt,,24,0,,4,2.0,46.0,1.0,56.144763,10.191927,2016-10-29 01:23:43.891339
7189508,37656419,Entire home/apt,,4,0,,4,2.0,43.0,1.0,56.187922,10.18327,2016-10-29 01:23:40.713171
13696184,79850098,Entire home/apt,,2,1,,8,4.0,151.0,3.0,56.122443,10.186501,2016-10-29 01:23:08.138081
6815545,35686049,Entire home/apt,,1,0,,9,5.0,227.0,1.0,56.110363,10.221411,2016-10-29 01:23:00.505712
1418172,7639556,Private room,,3,8,5.0,2,1.0,35.0,1.0,56.162507,10.170626,2016-10-29 01:22:55.620892
7647660,962573,Entire home/apt,,3,3,5.0,5,2.0,76.0,,56.170282,10.168554,2016-10-29 01:22:37.560136
13934918,82834618,Private room,,4,1,,2,1.0,45.0,1.0,56.190775,10.184164,2016-10-29 01:22:00.308660
1918678,9924828,Entire home/apt,,5,0,,10,3.0,13.0,3.0,56.185071,10.229078,2016-10-29 01:21:49.647751
14591907,16680277,Private room,,24,1,,2,1.0,68.0,4.0,56.156368,10.198103,2016-10-29 01:21:42.927307
1213155,6621004,Entire home/apt,,5,2,,6,3.0,147.0,7.0,56.200659,10.248208,2016-10-29 01:21:15.471689
6774641,35467066,Entire home/apt,,24,3,5.0,4,1.0,94.0,1.0,56.145714,10.190803,2016-10-29 01:21:08.384029
10735738,3270494,Entire home/apt,,24,0,,2,1.0,48.0,10.0,56.155451,10.194987,2016-10-29 01:20:58.961680
9325060,48398752,Entire home/apt,,24,5,4.5,5,3.0,91.0,,56.171249,10.219413,2016-10-29 01:20:56.182050
14466808,89151312,Entire home/apt,,24,1,,2,1.0,73.0,2.0,56.155985,10.190359,2016-10-29 01:20:05.667679
11613366,49180406,Entire home/apt,,24,1,,4,1.0,58.0,1.0,56.155691,10.209293,2016-10-29 01:19:46.176610
13636443,10437647,Entire home/apt,,24,1,,1,1.0,20.0,,56.157794,10.199761,2016-10-29 01:19:06.603247
3211529,16270598,Entire home/apt,,24,1,,8,3.0,302.0,1.0,56.15773,10.205971,2016-10-29 01:18:59.128662
3750969,19192709,Entire home/apt,,24,6,5.0,4,1.0,166.0,2.0,56.155442,10.198345,2016-10-29 01:18:55.273579
4986910,22443973,Private room,,24,4,4.5,4,1.0,53.0,1.0,56.1586,10.20795,2016-10-29 01:18:47.999769
13148869,35845022,Private room,,24,0,,2,1.0,26.0,4.0,56.166381,10.226962,2016-10-29 01:18:43.815868
14531804,40174653,Entire home/apt,,4,1,,2,1.0,50.0,1.0,56.169869,10.191222,2016-10-29 01:18:39.929834
11584810,36401174,Entire home/apt,,24,7,4.5,2,1.0,38.0,2.0,56.147321,10.197677,2016-10-29 01:18:37.832190
13267241,74732969,Entire home/apt,,24,1,,2,1.0,112.0,2.0,56.154902,10.195699,2016-10-29 01:18:18.920222
15176122,11031662,Private room,,4,2,,3,1.0,36.0,2.0,56.173278,10.198927,2016-10-29 01:18:07.973114
8838282,46287080,Entire home/apt,,24,0,,2,1.0,75.0,3.0,56.156522,10.20698,2016-10-29 01:18:04.085536
13421014,76497122,Entire home/apt,,24,0,,2,1.0,57.0,1.0,56.157648,10.196139,2016-10-29 01:17:56.734966
15128450,94636596,Entire home/apt,,24,2,,2,1.0,75.0,1.0,56.158755,10.210709,2016-10-29 01:17:49.162443
6250469,32463304,Private room,,24,6,4.5,1,1.0,45.0,3.0,56.169427,10.214348,2016-10-29 01:17:22.504035
15303900,97462462,Private room,,24,0,,1,1.0,23.0,1.0,56.147798,10.191717,2016-10-29 01:17:01.197979
7295516,38212165,Entire home/apt,,3,1,,6,2.0,113.0,1.0,56.176705,10.17217,2016-10-29 01:16:52.742232
14001732,29993557,Entire home/apt,,24,1,,2,1.0,58.0,1.0,56.155396,10.190022,2016-10-29 01:16:20.574205
11643245,61738890,Entire home/apt,,24,9,5.0,2,1.0,68.0,2.0,56.157808,10.184269,2016-10-29 01:16:10.504764
7763770,39904689,Private room,,11,2,,1,1.0,34.0,2.0,56.174519,10.124791,2016-10-29 01:15:53.458878
8898817,46551020,Entire home/apt,,24,1,,2,1.0,30.0,7.0,56.153944,10.196928,2016-10-29 01:15:51.188869
1208861,6519122,Entire home/apt,,3,47,5.0,3,1.0,61.0,1.0,56.162122,10.160273,2016-10-29 01:15:46.949585
5625141,9925324,Entire home/apt,,24,3,5.0,2,1.0,50.0,1.0,56.1637,10.200423,2016-10-29 01:15:30.872628
5094134,26320808,Private room,,24,8,4.0,2,1.0,60.0,1.0,56.160693,10.206932,2016-10-29 01:15:27.809449
6996514,36684649,Entire home/apt,,24,3,4.5,2,1.0,49.0,3.0,56.16047,10.20958,2016-10-29 01:15:22.143612
7479287,28762268,Entire home/apt,,1,7,4.5,6,3.0,155.0,5.0,56.120019,10.20599,2016-10-29 01:15:19.727643
6158882,26694939,Entire home/apt,,4,0,,4,2.0,45.0,1.0,56.197596,10.188756,2016-10-29 01:15:16.109508
3306257,16697268,Entire home/apt,,24,0,,2,1.0,60.0,1.0,56.156968,10.185309,2016-10-29 01:15:09.811600
10623964,54833500,Entire home/apt,,24,5,5.0,2,1.0,60.0,1.0,56.163625,10.214,2016-10-29 01:14:35.247984
13054916,71136882,Entire home/apt,,24,12,4.5,2,0.0,45.0,1.0,56.154332,10.209917,2016-10-29 01:14:32.221193
9489003,32121986,Entire home/apt,,24,7,4.5,3,1.0,56.0,3.0,56.163449,10.204643,2016-10-29 01:14:28.123401
8991219,42547213,Private room,,24,0,,2,1.0,32.0,2.0,56.161393,10.207952,2016-10-29 01:14:25.178041
12992899,15604792,Entire home/apt,,24,7,4.5,2,1.0,113.0,2.0,56.158633,10.207242,2016-10-29 01:14:21.563606
6970488,10044927,Entire home/apt,,24,10,4.5,2,1.0,61.0,1.0,56.144726,10.193678,2016-10-29 01:14:14.934570
13186630,73777021,Entire home/apt,,2,5,4.5,3,1.0,57.0,2.0,56.14515,10.186827,2016-10-29 01:14:10.971129
6563896,34336015,Entire home/apt,,24,7,4.5,6,2.0,119.0,1.0,56.164153,10.202782,2016-10-29 01:14:04.420237
8820006,46202608,Entire home/apt,,24,0,,3,2.0,44.0,3.0,56.146467,10.208401,2016-10-29 01:14:00.641331
2953529,15076448,Entire home/apt,,4,9,4.5,3,1.0,45.0,2.0,56.175434,10.198355,2016-10-29 01:13:43.197159
12974477,71411061,Private room,,24,1,,2,1.0,61.0,1.0,56.153873,10.188794,2016-10-29 01:13:31.770858
6014842,31221706,Entire home/apt,,24,0,,6,2.0,109.0,3.0,56.171708,10.21523,2016-10-29 01:13:28.917856
13468475,41287148,Entire home/apt,,24,4,4.0,2,1.0,34.0,4.0,56.156144,10.184328,2016-10-29 01:13:23.762898
7897716,41640640,Entire home/apt,,1,0,,4,2.0,113.0,1.0,56.112427,10.202114,2016-10-29 01:13:19.942150
11566813,61103867,Private room,,24,0,,2,1.0,75.0,1.0,56.156835,10.183397,2016-10-29 01:12:55.300026
14163354,16180970,Entire home/apt,,24,2,,4,1.0,55.0,7.0,56.171553,10.215009,2016-10-29 01:12:49.307360
5327136,25311282,Entire home/apt,,24,2,,2,1.0,76.0,1.0,56.145047,10.191798,2016-10-29 01:12:40.976281
6394479,6144252,Entire home/apt,,24,2,,3,0.0,61.0,2.0,56.170305,10.219958,2016-10-29 01:12:18.194176
7210886,2212835,Entire home/apt,,24,1,,4,2.0,75.0,2.0,56.142057,10.201477,2016-10-29 01:12:03.768572
13111381,24929596,Entire home/apt,,24,2,,3,1.0,68.0,2.0,56.172003,10.212966,2016-10-29 01:11:55.526631
694614,3555362,Private room,,24,5,5.0,2,1.0,42.0,1.0,56.145305,10.191022,2016-10-29 01:11:52.160711
6633889,34723737,Entire home/apt,,24,15,4.5,3,1.0,53.0,1.0,56.147094,10.190955,2016-10-29 01:11:47.123930
15558616,67246602,Entire home/apt,,24,0,,4,2.0,98.0,3.0,56.158515,10.201609,2016-10-29 01:11:40.700894
15627887,48412255,Private room,,24,0,,2,1.0,30.0,1.0,56.159979,10.196046,2016-10-29 01:11:32.136522
1158160,6346463,Entire home/apt,,5,16,4.0,7,4.0,136.0,1.0,56.207012,10.245287,2016-10-29 01:11:23.756223
13647340,79226104,Entire home/apt,,24,2,,3,2.0,45.0,1.0,56.171843,10.217795,2016-10-29 01:11:11.752493
14740187,91825942,Entire home/apt,,24,2,,2,0.0,45.0,1.0,56.155774,10.196154,2016-10-29 01:11:04.717021
4936455,25435011,Entire home/apt,,24,10,5.0,3,1.0,83.0,2.0,56.157908,10.197787,2016-10-29 01:11:00.910589
424465,2110091,Entire home/apt,,1,1,,4,2.0,113.0,1.0,56.096137,10.215759,2016-10-29 01:10:57.727273
11286889,48260066,Entire home/apt,,24,12,4.5,2,1.0,42.0,2.0,56.162822,10.206082,2016-10-29 01:10:53.556353
3273254,15946722,Entire home/apt,,2,1,,4,2.0,91.0,1.0,56.126517,10.190528,2016-10-29 01:10:48.375249
1000875,5503494,Entire home/apt,,4,12,4.5,6,3.0,87.0,4.0,56.182428,10.207488,2016-10-29 01:10:37.127122
6843058,8637497,Private room,,24,28,4.5,1,1.0,45.0,1.0,56.180255,10.218785,2016-10-29 01:10:27.043512
6711896,31994444,Private room,,24,4,5.0,2,1.0,45.0,2.0,56.159094,10.2109,2016-10-29 01:10:09.248767
8381908,44171043,Entire home/apt,,24,10,4.5,3,2.0,61.0,2.0,56.164526,10.198934,2016-10-29 01:10:02.788083
13255908,70919095,Entire home/apt,,2,1,,6,4.0,113.0,3.0,56.132049,10.186551,2016-10-29 01:10:00.354877
15370111,7856370,Private room,,24,0,,2,1.0,43.0,2.0,56.163717,10.227348,2016-10-29 01:09:56.651418
9732772,35849437,Entire home/apt,,4,0,,2,1.0,42.0,7.0,56.175681,10.212077,2016-10-29 01:09:50.562722
13437323,76673273,Entire home/apt,,24,0,,4,1.0,30.0,,56.15858,10.183692,2016-10-29 01:09:07.498695
13198983,33598171,Private room,,24,0,,3,1.0,30.0,1.0,56.156836,10.206604,2016-10-29 01:09:01.719506
15521269,89449740,Entire home/apt,,24,1,,2,1.0,82.0,1.0,56.172742,10.217229,2016-10-29 01:08:44.425126
13341800,15702274,Entire home/apt,,24,0,,4,2.0,106.0,1.0,56.158158,10.190614,2016-10-29 01:08:28.369195
7528644,39453732,Entire home/apt,,24,12,4.5,3,1.0,83.0,2.0,56.144232,10.204106,2016-10-29 01:08:23.102960
13654934,47814769,Entire home/apt,,1,0,,8,4.0,97.0,5.0,56.112649,10.19834,2016-10-29 01:08:07.404715
13518374,16162128,Private room,,24,0,,2,1.0,42.0,1.0,56.148909,10.194345,2016-10-29 01:07:46.374383
6530993,34157415,Private room,,24,11,5.0,2,1.0,45.0,5.0,56.154144,10.195362,2016-10-29 01:07:21.193599
13809120,81063820,Private room,,24,6,4.5,4,1.0,49.0,,56.159834,10.213257,2016-10-29 01:07:17.398657
7257248,27786886,Private room,,24,0,,1,1.0,33.0,1.0,56.159644,10.209098,2016-10-29 01:07:14.723231
14005557,83706484,Entire home/apt,,24,3,4.5,4,2.0,74.0,1.0,56.162512,10.209576,2016-10-29 01:07:10.585102
6455201,3833465,Entire home/apt,,24,2,,3,1.0,61.0,1.0,56.146584,10.19131,2016-10-29 01:07:01.217039
9583567,46371657,Entire home/apt,,24,30,4.5,4,2.0,99.0,1.0,56.146965,10.197102,2016-10-29 01:06:33.142256
3758618,19237859,Private room,,6,49,4.5,2,1.0,33.0,1.0,56.154386,10.158929,2016-10-29 01:06:16.462531
9399448,48748387,Entire home/apt,,24,0,,4,2.0,83.0,1.0,56.151942,10.205367,2016-10-29 01:05:57.449646
6585479,34447414,Private room,,24,0,,1,1.0,30.0,1.0,56.14919,10.199223,2016-10-29 01:05:55.570733
14067309,38804552,Entire home/apt,,24,14,5.0,6,2.0,57.0,1.0,56.146628,10.1866,2016-10-29 01:05:30.109790
13430134,62964244,Private room,,6,10,5.0,2,1.0,38.0,1.0,56.156839,10.179375,2016-10-29 01:05:19.914069
6667531,26165474,Entire home/apt,,24,4,4.5,4,1.0,53.0,3.0,56.162972,10.214131,2016-10-29 01:05:12.804947
6475671,33830632,Entire home/apt,,24,1,,4,2.0,75.0,2.0,56.143252,10.191493,2016-10-29 01:05:04.454749
9213520,47913651,Entire home/apt,,24,0,,2,1.0,75.0,5.0,56.151096,10.194366,2016-10-29 01:04:46.663959
13428305,66841505,Private room,,24,5,4.5,2,1.0,30.0,2.0,56.162098,10.196456,2016-10-29 01:04:31.537288
14979401,58892616,Private room,,24,2,,2,1.0,32.0,1.0,56.169891,10.216834,2016-10-29 01:04:22.912821
9020102,14513767,Entire home/apt,,24,7,5.0,4,2.0,49.0,2.0,56.154645,10.184905,2016-10-29 01:04:15.308569
5506388,6143853,Entire home/apt,,5,9,5.0,4,2.0,151.0,3.0,56.198617,10.253564,2016-10-29 01:04:10.101197
4783208,9848256,Entire home/apt,,24,0,,2,1.0,75.0,1.0,56.144519,10.193943,2016-10-29 01:03:49.108348
3431676,14601334,Entire home/apt,,24,22,4.5,6,2.0,151.0,2.0,56.144051,10.193766,2016-10-29 01:03:42.700239
7313931,7299073,Entire home/apt,,24,2,,3,1.0,47.0,3.0,56.159303,10.211955,2016-10-29 01:03:34.972740
15463344,33297396,Entire home/apt,,24,1,,2,1.0,48.0,2.0,56.147248,10.197303,2016-10-29 01:03:25.831639
10714827,55373229,Entire home/apt,,13,2,,5,4.0,113.0,1.0,56.236069,10.191222,2016-10-29 01:03:21.739218
12198317,65580801,Entire home/apt,,24,10,4.5,4,1.0,68.0,1.0,56.161948,10.210409,2016-10-29 01:03:18.693163
11779685,17877489,Entire home/apt,,24,4,5.0,5,3.0,136.0,4.0,56.160943,10.208678,2016-10-29 01:03:14.185417
9837722,16737622,Entire home/apt,,24,0,,2,1.0,68.0,1.0,56.151092,10.206076,2016-10-29 01:03:08.341526
14610306,45380678,Private room,,1,3,4.5,3,1.0,98.0,1.0,56.139816,10.196072,2016-10-29 01:03:04.903982
13097634,63278654,Entire home/apt,,24,0,,7,2.0,143.0,2.0,56.141875,10.202996,2016-10-29 01:02:41.116720
3216864,8875252,Private room,,10,23,4.5,3,1.0,38.0,1.0,56.153808,10.136392,2016-10-29 01:02:30.090808
12646441,39132004,Entire home/apt,,24,11,5.0,2,1.0,61.0,1.0,56.16099,10.210419,2016-10-29 01:02:04.851531
4732771,24364794,Entire home/apt,,24,1,,4,1.0,75.0,1.0,56.146588,10.189856,2016-10-29 01:01:57.932316
15427815,69084244,Entire home/apt,,1,3,4.5,2,2.0,45.0,1.0,56.141617,10.193123,2016-10-29 01:01:51.918984
15162682,396365,Entire home/apt,,24,0,,2,1.0,132.0,4.0,56.158159,10.205234,2016-10-29 01:01:40.616669
3759193,19237859,Private room,,6,22,4.5,1,1.0,33.0,1.0,56.153213,10.157563,2016-10-29 01:01:38.769113
7080755,37121005,Entire home/apt,,24,1,,3,1.0,91.0,3.0,56.154631,10.194334,2016-10-29 01:01:32.195361
3077388,15631301,Private room,,24,11,5.0,2,1.0,61.0,2.0,56.159155,10.19791,2016-10-29 01:01:15.070295
6517017,34080520,Entire home/apt,,24,0,,4,2.0,75.0,1.0,56.16221,10.213559,2016-10-29 01:00:45.401642
10099836,51828491,Entire home/apt,,5,0,,4,2.0,149.0,4.0,56.20008,10.252805,2016-10-29 01:00:42.973030
6588171,24396250,Private room,,24,0,,2,1.0,136.0,1.0,56.151459,10.204391,2016-10-29 01:00:38.816431
5912966,25934678,Entire home/apt,,4,6,5.0,2,1.0,32.0,1.0,56.176483,10.204241,2016-10-29 01:00:30.201232
11545355,31325005,Private room,,24,0,,1,1.0,15.0,4.0,56.170412,10.215484,2016-10-29 01:00:13.534441
11889146,16554435,Entire home/apt,,24,2,,2,1.0,42.0,7.0,56.165433,10.211271,2016-10-29 01:00:02.330466
4075460,21137090,Private room,,24,61,5.0,1,1.0,38.0,2.0,56.143809,10.196026,2016-10-29 00:59:49.549904
1928798,9989278,Entire home/apt,,24,2,,3,1.0,72.0,1.0,56.156762,10.195042,2016-10-29 00:59:46.873654
9541916,49418618,Private room,,24,1,,2,1.0,26.0,2.0,56.160933,10.21405,2016-10-29 00:59:31.829983
11269210,58837901,Entire home/apt,,24,1,,4,1.0,48.0,7.0,56.165734,10.200577,2016-10-29 00:59:22.406375
13764115,37032754,Entire home/apt,,24,0,,3,1.0,57.0,1.0,56.161236,10.213923,2016-10-29 00:59:08.091679
11448800,35119707,Entire home/apt,,24,0,,4,1.0,76.0,1.0,56.172558,10.216726,2016-10-29 00:59:01.707151
